symbol,time_bin,polarity,polarity_3d,polarity_5d
AAPL,2023-01-02,0.0,0.0,0.0
AAPL,2023-01-03,1.0,0.5,0.3333333333333333
AAPL,2023-01-04,0.5,0.5,0.3888888888888889
AAPL,2023-01-05,0.0,0.25,0.2592592592592593
AAPL,2023-01-06,1.0,0.625,0.5061728395061729
AAPL,2023-01-07,0.3333333333333333,0.47916666666666663,0.44855967078189307
AAPL,2023-01-08,-1.0,-0.2604166666666667,-0.034293552812071235
AAPL,2023-01-09,0.75,0.24479166666666666,0.22713763145861918
AAPL,2023-01-10,0.5,0.3723958333333333,0.3180917543057461
AAPL,2023-01-11,0.6363636363636364,0.5043797348484849,0.4241823816583762
AAPL,2023-01-12,0.6,0.5521898674242425,0.4827882544389175
AAPL,2023-01-13,1.0,0.7760949337121212,0.655192169625945
AAPL,2023-01-14,1.0,0.8880474668560606,0.7701281130839633
AAPL,2023-01-16,1.0,0.9440237334280304,0.846752075389309
AAPL,2023-01-17,0.5555555555555556,0.749789644491793,0.7496865687780578
AAPL,2023-01-18,0.4666666666666667,0.6082281555792298,0.6553466014075942
AAPL,2023-01-19,0.3333333333333333,0.4707807444562816,0.5480088453828406
AAPL,2023-01-20,-0.3333333333333333,0.06872370556147414,0.25422811914411597
AAPL,2023-01-21,0.0,0.03436185278073707,0.169485412762744
AAPL,2023-01-22,0.0,0.017180926390368535,0.11299027517516269
AAPL,2023-01-23,0.3333333333333333,0.17525712986185094,0.18643796122788625
AAPL,2023-01-24,0.2,0.18762856493092547,0.19095864081859085
AAPL,2023-01-25,0.42857142857142855,0.308099996751177,0.2701629034028701
AAPL,2023-01-26,0.0,0.1540499983755885,0.18010860226858008
AAPL,2023-01-27,0.0,0.07702499918779425,0.12007240151238674
AAPL,2023-01-28,1.0,0.5385124995938971,0.4133816010082578
AAPL,2023-01-29,1.0,0.7692562497969486,0.6089210673388386
AAPL,2023-01-30,0.0,0.3846281248984743,0.4059473782258924
AAPL,2023-01-31,0.5,0.44231406244923716,0.4372982521505949
AAPL,2023-02-01,0.2,0.3211570312246186,0.3581988347670633
AAPL,2023-02-02,-0.2,0.060578515612309286,0.17213255651137557
AAPL,2023-02-03,0.09090909090909091,0.0757438032607001,0.14505806797728069
AAPL,2023-02-04,0.0,0.03787190163035005,0.09670537865152047
AAPL,2023-02-05,1.0,0.5189359508151751,0.3978035857676803
AAPL,2023-02-06,1.0,0.7594679754075875,0.5985357238451202
AAPL,2023-02-07,0.7142857142857143,0.736876844846651,0.637119053991985
AAPL,2023-02-08,1.0,0.8684384224233255,0.75807936932799
AAPL,2023-02-09,1.0,0.9342192112116627,0.8387195795519934
AAPL,2023-02-10,0.0,0.46710960560583137,0.5591463863679956
AAPL,2023-02-12,1.0,0.7335548028029157,0.7060975909119971
AAPL,2023-02-13,0.0,0.36677740140145787,0.4707317272746648
AAPL,2023-02-14,0.3333333333333333,0.3500553673673956,0.42493226262755435
AAPL,2023-02-15,0.0,0.1750276836836978,0.2832881750850363
AAPL,2023-02-16,0.0,0.0875138418418489,0.1888587833900242
AAPL,2023-02-17,1.0,0.5437569209209244,0.4592391889266828
AAPL,2023-02-18,-0.3333333333333333,0.10521179379379555,0.19504834817334413
AAPL,2023-02-19,1.0,0.5526058968968978,0.46336556544889607
AAPL,2023-02-20,1.0,0.7763029484484489,0.6422437102992641
AAPL,2023-02-21,-1.0,-0.11184852577577553,0.09482914019950946
AAPL,2023-02-22,0.0,-0.055924262887887766,0.06321942679967298
AAPL,2023-02-23,0.0,-0.027962131443943883,0.04214628453311532
AAPL,2023-02-24,0.0,-0.013981065721971941,0.028097523022076885
AAPL,2023-02-25,1.0,0.49300946713901406,0.35206501534805124
AAPL,2023-02-26,1.0,0.746504733569507,0.5680433435653675
AAPL,2023-02-27,0.0,0.3732523667847535,0.37869556237691165
AAPL,2023-02-28,1.0,0.6866261833923768,0.5857970415846078
AAPL,2023-03-01,1.0,0.8433130916961884,0.7238646943897385
AAPL,2023-03-02,0.5,0.6716565458480942,0.6492431295931591
AAPL,2023-03-03,0.42857142857142855,0.5501139872097613,0.575685895919249
AAPL,2023-03-04,0.0,0.2750569936048807,0.3837905972794994
AAPL,2023-03-05,1.0,0.6375284968024404,0.5891937315196663
AAPL,2023-03-06,-0.06666666666666667,0.28543091506788687,0.37057359879088864
AAPL,2023-03-07,0.75,0.5177154575339434,0.49704906586059244
AAPL,2023-03-08,0.42857142857142855,0.47314344305268596,0.4742231867642045
AAPL,2023-03-09,0.14285714285714285,0.3080002929549144,0.363767838795184
AAPL,2023-03-10,0.5,0.4040001464774572,0.40917855919678936
AAPL,2023-03-11,1.0,0.7020000732387286,0.6061190394645263
AAPL,2023-03-12,1.0,0.8510000366193643,0.7374126929763509
AAPL,2023-03-13,0.2,0.5255000183096822,0.5582751286509007
AAPL,2023-03-14,1.0,0.7627500091548411,0.7055167524339339
AAPL,2023-03-15,0.5,0.6313750045774206,0.6370111682892893
AAPL,2023-03-16,0.5,0.5656875022887102,0.5913407788595262
AAPL,2023-03-17,1.0,0.7828437511443551,0.7275605192396841
AAPL,2023-03-19,1.0,0.8914218755721776,0.8183736794931228
AAPL,2023-03-20,0.3333333333333333,0.6123776044527555,0.6566935641065264
AAPL,2023-03-21,0.42857142857142855,0.520474516512092,0.5806528522614938
AAPL,2023-03-22,0.0,0.260237258256046,0.38710190150766255
AAPL,2023-03-23,0.16666666666666666,0.21345196246135634,0.3136234898939973
AAPL,2023-03-24,0.25,0.23172598123067817,0.29241565992933155
AAPL,2023-03-25,0.0,0.11586299061533908,0.19494377328622106
AAPL,2023-03-26,0.0,0.05793149530766954,0.1299625155241474
AAPL,2023-03-27,1.0,0.5289657476538348,0.4199750103494316
