date,sp500_adj_close
1999-11-01,85.8606847176409
1999-11-02,85.2470822249773
1999-11-03,85.8210993397167
1999-11-04,86.4742289406283
1999-11-05,87.3253437008372
1999-11-08,87.4045144566857
1999-11-09,86.5830982304106
1999-11-10,87.2263511211885
1999-11-11,87.7211974800795
1999-11-12,88.5129050385639
1999-11-15,88.7207086383186
1999-11-16,89.4629541087453
1999-11-17,89.7004663762906
1999-11-18,90.3338324230782
1999-11-19,90.2546616672298
1999-11-22,90.2348398434295
1999-11-23,89.443132284945
1999-11-24,89.9181568200357
1999-11-26,89.581710242518
1999-11-29,89.2650272191242
1999-11-30,88.2159855692941
1999-12-01,88.9285223719301
1999-12-02,89.4629541087453
1999-12-03,91.1057181577624
1999-12-06,90.4327667330506
1999-12-07,89.7004663762906
1999-12-08,89.1264492615512
1999-12-09,89.5618884187177
1999-12-10,89.8588078879875
1999-12-13,90.0171493996844
1999-12-14,89.1462710853515
1999-12-15,89.6212956204422
1999-12-16,90.0171493996844
1999-12-17,90.5935454372956
1999-12-20,89.9387665601318
1999-12-21,91.3078178060522
1999-12-22,91.5459085956377
1999-12-23,93.0041664287824
1999-12-27,92.8752196316867
1999-12-28,92.8157261400939
1999-12-29,93.2125441227364
1999-12-30,93.1033994953378
1999-12-31,93.2522259210007
2000-01-03,92.3395445609228
2000-01-04,88.7285009188755
2000-01-05,88.8872281119326
2000-01-06,87.4586833744194
2000-01-07,92.5379535522441
2000-01-10,92.8554079383581
2000-01-11,91.744317586959
2000-01-12,90.8316362268811
2000-01-13,92.061771973073
2000-01-14,93.3117194125935
2000-01-18,92.5776353505083
2000-01-19,93.3315895175292
2000-01-20,91.903044780016
2000-01-21,91.7046357886947
2000-01-24,89.1054487965825
2000-01-25,90.1173638581245
2000-01-26,89.4030914893679
2000-01-27,89.0459553049896
2000-01-28,86.2682294264917
2000-01-31,88.6094555240828
2000-02-01,89.4824550858964
2000-02-02,89.5618186824249
2000-02-03,90.9109998234096
2000-02-04,90.5339935340957
2000-02-07,90.3951364459743
2000-02-08,91.6252721921662
2000-02-09,89.7006757705463
2000-02-10,89.879273068539
2000-02-11,88.0539103483832
2000-02-14,88.5697737258185
2000-02-15,89.571719449819
2000-02-16,88.2523193397045
2000-02-17,87.795949453862
